1_0 (4899.27,3213.83) 1924.8999999993448
1_1 (4329.62,3383.92) 1979.8999999992948
2_6 (4616.96,3279.57) 1979.9999999992947
3_10 (4501.53,2715.02) 1979.9999999992947
3_13 (2845.73,4107.53) 1979.9999999992947
4_15 (3960.28,3501.83) 1979.9999999992947
4_17 (4989.74,5088.18) 1980.0999999992946
4_16 (4981.68,4127.89) 2020.299999999258
2_5 (4501.53,2715.02) 2024.3999999992543
5_21 (4517.96,3682.10) 2035.0999999992446
3_11 (4329.62,3383.92) 2039.9999999992401
4_15 (3641.18,3674.04) 2039.9999999992401
4_17 (5038.05,4689.47) 2040.09999999924
1_0 (4960.13,2870.26) 2042.5999999992378
1_1 (3960.28,3501.83) 2099.8999999991856
2_6 (4329.62,3383.92) 2099.9999999991855
3_13 (2416.70,4138.07) 2099.9999999991855
3_14 (2416.70,4138.07) 2100.0999999991855
1_0 (5275.30,2706.96) 2101.2999999991844
3_10 (3924.08,2482.16) 2101.599999999184
2_5 (4464.24,2204.34) 2151.399999999139
4_16 (5043.57,4640.69) 2154.7999999991357
5_21 (4357.28,3419.97) 2156.0
1_1 (3641.18,3674.04) 2159.899999999131
2_6 (3960.28,3501.83) 2159.999999999131
3_11 (3960.28,3501.83) 2159.999999999131
4_15 (3359.95,3906.48) 2159.999999999131
4_17 (4997.17,4236.05) 2160.099999999131
1_0 (5756.92,2599.65) 2161.7999999991293
3_10 (3647.35,2362.55) 2165.1999999991262
4_16 (4991.91,5006.74) 2211.1999999990844
5_21 (4300.64,3060.28) 2215.4999999990805
2_6 (3641.18,3674.04) 2219.9999999990764
3_11 (3641.18,3674.04) 2219.9999999990764
3_13 (1659.95,3816.13) 2219.9999999990764
4_15 (3628.98,4282.28) 2219.9999999990764
3_14 (1659.95,3816.13) 2220.0999999990763
1_0 (6107.17,2613.22) 2220.499999999076
3_10 (3646.79,2118.23) 2222.599999999074
2_5 (4501.10,1722.07) 2254.0
5_21 (4216.03,2788.40) 2267.899999999033
1_1 (3302.67,3886.97) 2279.899999999022
3_13 (1456.35,3619.75) 2279.999999999022
4_15 (3513.04,4476.55) 2279.999999999022
3_14 (1456.35,3619.75) 2280.0999999990217
4_17 (4848.46,3616.35) 2280.0999999990217
2_5 (4466.11,1078.63) 2318.9999999989864
5_22 (4517.96,3682.10) 2335.0999999989717
1_1 (2845.73,4107.53) 2339.8999999989674
2_6 (3359.95,3906.48) 2340.0
3_11 (3302.67,3886.97) 2340.0
3_13 (1171.27,3280.42) 2340.0
4_15 (3121.21,4714.92) 2340.0
3_14 (1171.27,3280.42) 2340.099999998967
4_16 (5040.80,5606.93) 2341.199999998966
3_10 (3250.05,1546.47) 2342.9999999989645
1_0 (6389.66,2552.14) 2343.499999998964
2_5 (4832.91,222.68) 2379.5999999989313
2_6 (3628.98,4282.28) 2400.0
3_11 (2845.73,4107.53) 2400.0
5_21 (3647.35,2362.55) 2400.4999999989122
4_16 (5165.21,6039.15) 2401.0999999989117
1_0 (6835.93,2453.74) 2403.2999999989097
5_22 (4357.28,3419.97) 2455.9999999988618
5_21 (3117.32,2360.43) 2457.99999999886
1_1 (2291.42,4650.03) 2459.899999998858
4_15 (3244.40,4943.12) 2460.0
1_0 (7200.16,2413.02) 2461.4999999988568
3_10 (3008.61,1011.19) 2461.4999999988568
2_5 (5081.85,96.28) 2509.1999999988134
4_16 (5260.08,6348.78) 2511.999999998811
5_22 (4300.64,3060.28) 2515.4999999988077
3_10 (2635.27,1136.31) 2519.0
2_6 (3962.43,4259.38) 2520.0
3_11 (2416.70,4138.07) 2520.0
4_15 (3561.60,5234.09) 2520.0
1_0 (7538.78,2348.97) 2523.4999999988004
2_5 (5190.47,30.96) 2560.299999998767
5_22 (4216.03,2788.40) 2568.3999999987595
4_16 (5415.27,6763.18) 2571.6999999987565
1_1 (1748.59,5098.79) 2579.899999998749
5_21 (2682.42,2717.99) 2580.899999998748
4_16 (5539.29,7240.36) 2635.099999998699
5_21 (2397.35,2835.91) 2639.299999998695
1_1 (1491.47,5409.69) 2639.8999999986945
2_6 (4330.67,4723.83) 2639.9999999986944
3_11 (1659.95,3816.13) 2639.9999999986944
1_0 (7912.55,2165.74) 2645.899999998689
3_10 (2254.35,1277.98) 2647.7999999986873
2_6 (4477.97,4865.50) 2700.0
3_11 (1456.35,3619.75) 2700.0
5_22 (3647.35,2362.55) 2700.899999998639
5_21 (2215.22,2884.26) 2736.7999999986064
2_5 (5088.33,92.47) 2746.199999998598
4_16 (5622.06,7765.47) 2754.1999999985906
4_15 (3268.58,4966.02) 2755.2999999985896
5_22 (3117.32,2360.43) 2758.3999999985867
1_1 (1783.67,5916.99) 2759.8999999985854
2_6 (4667.36,5029.22) 2759.9999999985853
3_11 (1171.27,3280.42) 2759.9999999985853
5_21 (1690.41,3102.28) 2799.4999999985494
1_1 (1822.03,6535.84) 2819.899999998531
2_6 (4938.80,5295.60) 2819.9999999985307
2_5 (4860.56,210.38) 2866.1999999984887
4_15 (3092.70,4726.37) 2876.0999999984797
1_1 (1598.88,7057.55) 2879.8999999984762
3_11 (751.58,3024.66) 2879.999999998476
5_22 (2682.42,2717.99) 2881.199999998475
5_21 (1171.27,3280.42) 2921.3999999984385
2_5 (4465.96,1037.48) 2926.199999998434
3_10 (2586.74,1155.40) 2933.1999999984278
4_15 (3495.74,4491.82) 2936.8999999984244
1_0 (7561.71,2343.04) 2937.7999999984236
5_22 (2397.35,2835.91) 2939.599999998422
2_6 (5041.57,5622.62) 2940.0
3_11 (657.96,2600.07) 2940.0
2_5 (4494.31,1621.12) 2986.1999999983796
4_16 (5556.55,7266.24) 2992.299999998374
3_10 (2977.85,1013.31) 2993.199999998373
4_15 (3657.99,4314.09) 2993.499999998373
1_0 (7237.87,2406.66) 2997.799999998369
2_6 (5163.74,6045.08) 2999.999999998367
