"(1556.79, 5271.84)","(48.01241684, 7.8085389137)"
"(1569.94, 3732.15)","(47.998569489, 7.8087096214)"
"(1570.59, 5553.91)","(48.014953613, 7.8087248802)"
"(1588.23, 3746.15)","(47.99869537399999, 7.8089547157000005)"
"(1594.73, 5598.87)","(48.01535797100001, 7.8090486526)"
"(1596.62, 3130.27)","(47.993156433, 7.8090648651)"
"(1598.88, 7057.55)","(48.028476715, 7.8091096877999995)"
"(1617.45, 7024.89)","(48.028182983, 7.809358596799999)"
"(1619.57, 3780.5)","(47.999004363999994, 7.8093748092999995)"
"(1623.55, 5208.22)","(48.011844635, 7.8094334602)"
"(1627.13, 7009.2)","(48.02804184, 7.8094882965)"
"(1628.26, 5661.22)","(48.015918731999996, 7.8094983100999995)"
"(1635.79, 3796.62)","(47.999149323000005, 7.809592247)"
"(1639.19, 3117.55)","(47.993041991999995, 7.8096351624)"
"(1655.47, 5174.71)","(48.011543274, 7.809861183200001)"
"(1656.09, 6959.99)","(48.027599335, 7.809876442)"
"(1659.95, 3816.13)","(47.99932479899999, 7.8099160194)"
"(1667.24, 3822.07)","(47.999378203999996, 7.8100137711)"
"(1672.98, 5749.02)","(48.016708374, 7.8100981712)"
"(1681.2, 5150.11)","(48.011322021000005, 7.8102059364)"
"(1683.18, 3833.52)","(47.999481201, 7.8102273941)"
"(1684.04, 5767.68)","(48.016876221000004, 7.8102464676)"
"(1690.41, 3102.28)","(47.992904663000004, 7.810321331)"
"(1695.1, 5785.5)","(48.017036438000005, 7.8103947639)"
"(1698.6, 5135.26)","(48.011188507, 7.8104391098)"
"(1703.06, 6870.5)","(48.026794433999996, 7.810505867000001)"
"(1718.05, 3857.28)","(47.999694823999995, 7.8106946945)"
"(1718.63, 5120.42)","(48.011054993, 7.8107075691)"
"(1728.06, 3090.4)","(47.992797851999995, 7.8108258247)"
"(1734.16, 3867.46)","(47.999786377, 7.810910701799999)"
"(1748.43, 3877.64)","(47.99987793, 7.8111019135)"
"(1748.59, 5098.79)","(48.010860443, 7.811109066)"
"(1759.23, 6718.22)","(48.025424957, 7.811258316)"
"(1760.56, 3886.97)","(47.999961853, 7.8112645149)"
"(1769.89, 3073.43)","(47.992645264, 7.811386108400001)"
"(1770.59, 6690.23)","(48.025173187, 7.8114104271)"
"(1771.91, 3897.15)","(48.000053406000006, 7.811416626000001)"
"(1781.52, 3907.33)","(48.000144958, 7.811545372)"
"(1783.67, 5916.99)","(48.018218993999994, 7.811582565299999)"
"(1787.67, 5069.94)","(48.010601044, 7.8116326332)"
"(1793.89, 3925.56)","(48.00030899, 7.8117113113)"
"(1798.28, 5936.5)","(48.01839447, 7.811778545399999)"
"(1802.96, 3937.02)","(48.000411987, 7.8118329048)"
"(1813.84, 6562.13)","(48.024021149, 7.8119897842)"
"(1813.92, 3948.05)","(48.000511169, 7.811979770700001)"
"(1822.03, 6535.84)","(48.023784637, 7.8120994567999995)"
"(1825.38, 6524.38)","(48.023681641, 7.812144279500001)"
"(1826.09, 3957.8)","(48.000598907, 7.812142849)"
"(1835.22, 5985.7)","(48.018836975, 7.8122739791999996)"
"(1839.37, 5030.92)","(48.010250092, 7.8123254776)"
"(1840.12, 6484.09)","(48.023319244, 7.8123416901)"
"(1843.52, 3968.4)","(48.000694275, 7.8123764992)"
"(1851.84, 3972.22)","(48.000728607, 7.8124880790999995)"
"(1858.09, 6431.92)","(48.022850037, 7.8125824928)"
"(1867.11, 3978.16)","(48.000782013, 7.8126926422)"
"(1883.93, 4994.44)","(48.009922028000005, 7.8129224777)"
"(1888.56, 6054.84)","(48.019458771000004, 7.8129892349)"
"(1888.84, 3024.66)","(47.992206573000004, 7.8129796982)"
"(1898.5, 6333.09)","(48.021961212, 7.813123703)"
"(1900.18, 6071.81)","(48.019611358999995, 7.8131451607)"
"(1910.92, 6089.2)","(48.019767761000004, 7.8132891655)"
"(1919.74, 6109.13)","(48.019947052, 7.8134074211)"
"(1926.2, 6128.22)","(48.020118713, 7.8134942055)"
"(1929.22, 6255.89)","(48.021266937, 7.8135352135)"
"(1929.79, 6144.76)","(48.020267487, 7.813542366)"
"(1931.92, 6166.82)","(48.020465851000004, 7.8135709763)"
"(1932.21, 6240.2)","(48.021125793, 7.8135752678)"
"(1933.65, 6207.54)","(48.020832062, 7.8135943413)"
"(1933.78, 6222.81)","(48.020969391, 7.813596248600001)"
"(1939.09, 4943.54)","(48.009464263999995, 7.813661575299999)"
"(2024.74, 2964.42)","(47.991664886, 7.8148002625)"
"(2031.52, 4021.85)","(48.001174927, 7.8148961067)"
"(2041.9, 2958.49)","(47.99161148100001, 7.815030097999999)"
"(2050.77, 4837.08)","(48.008506775, 7.8151578903)"
"(2075.11, 2948.31)","(47.991519928, 7.815474987000001)"
"(2082.94, 2944.07)","(47.991481781000005, 7.8155798912)"
"(2094.37, 2933.89)","(47.991390228, 7.815732955900001)"
"(2102.17, 2927.1)","(47.991329193, 7.815837383300001)"
"(2108.29, 2922.43)","(47.991287231, 7.815919399299999)"
"(2115.62, 2917.77)","(47.99124527, 7.8160176277)"
"(2124.19, 4770.49)","(48.007907867, 7.8161416053999995)"
"(2125.34, 2913.53)","(47.991207123, 7.8161478043)"
"(2134.52, 2910.56)","(47.99118042, 7.8162708282)"
"(2185.76, 4060.87)","(48.001525879, 7.8169631958000005)"
"(2194.05, 4711.95)","(48.007381439, 7.8170776367)"
"(2215.22, 2884.26)","(47.990943908999995, 7.8173518181)"
"(2234.27, 1285.61)","(47.976566315, 7.817598819700001)"
"(2254.35, 1277.98)","(47.97649765, 7.8178677559)"
"(2266.48, 4665.3)","(48.006961823000005, 7.8180480003)"
"(2268.43, 2869.84)","(47.99081420899999, 7.818064689600001)"
"(2276.32, 1269.92)","(47.976425171, 7.818161964400001)"
"(2291.42, 4650.03)","(48.006824493, 7.8183822632)"
"(2292.71, 4088.87)","(48.001777649, 7.818396568300001)"
"(2304.95, 1259.74)","(47.976333618000005, 7.8185453415)"
"(2312.63, 4637.3)","(48.006710051999995, 7.818666458099999)"
"(2331.14, 4102.01)","(48.001895905, 7.8189115524)"
"(2351.92, 4110.5)","(48.001972198000004, 7.819190025299999)"
"(2363.17, 4609.73)","(48.006462096999996, 7.819343566900001)"
"(2364.28, 2844.39)","(47.990585327, 7.8193488121)"
"(2380.08, 1230.9)","(47.976074219, 7.819551467899999)"
"(2385.71, 4123.22)","(48.002086639, 7.819643020599999)"
"(2396.88, 4128.74)","(48.00213623, 7.8197927475)"
"(2396.98, 4589.8)","(48.006282806, 7.8197965622000005)"
"(2397.35, 2835.91)","(47.990509033, 7.8197917938)"
"(2416.7, 4138.07)","(48.00222015399999, 7.820058345800001)"
"(2420.03, 2830.39)","(47.990459441999995, 7.8200955390999995)"
"(2425.06, 4141.89)","(48.002254486000005, 7.8201704025)"
"(2425.38, 4570.71)","(48.006111145, 7.8201770782)"
"(2449.78, 4155.88)","(48.002380371, 7.820501804400001)"
"(2450.47, 4552.05)","(48.005943298000005, 7.8205132484)"
"(2458.04, 2821.91)","(47.990383148, 7.8206048012)"
"(2468.61, 2818.52)","(47.990352631, 7.820746421799999)"
"(2483.09, 1193.15)","(47.975734711, 7.8209309578)"
"(2486.84, 2811.73)","(47.990291595, 7.8209905624000005)"
"(2489.66, 4182.6)","(48.002620697, 7.8210363388)"
"(2492.97, 4517.69)","(48.005634308000005, 7.821082592000001)"
"(2518.56, 4494.78)","(48.005428314, 7.8214254378999994)"
